Ier_ID,Parks,TranspVeids,GarNr,MarsrNos,TMarsruts,Virziens,Laiks,ValidTalonaId
113311,7 parks,Autobuss,79229,Jugla 3 - Ziepniekkalns,A 40,Back,23.11.2018 06:23:49,24
113312,7 parks,Autobuss,76854,Abrenes - Garkalnes Mucenieki,A 16,Back,23.11.2018 06:34:48,24
113313,6 parks,Autobuss,68117,Imanta 5 - Jugla 3,A 21,Back,23.11.2018 07:37:30,24
113314,1 parks,Trolejbuss,19737,Pļavnieki - Šmerlis,Tr 16,Back,23.11.2018 07:44:09,24
113315,7 parks,Autobuss,76571,Pļavnieku kapi - Sarkandaugava,A 48,Back,23.11.2018 08:34:10,24
113316,7 parks,Autobuss,78060,Dārziņi - Jugla 3,A 15,Back,23.11.2018 08:44:58,24
113317,7 parks,Autobuss,76745,Dārziņi - Jugla 3,A 31,Forth,23.11.2018 09:58:59,24
113318,7 parks,Autobuss,73520,Abrenes iela - TEC2,A 50,Forth,23.11.2018 10:35:39,24
113319,7 parks,Autobuss,73520,Abrenes iela - TEC2,A 50,Back,23.11.2018 10:56:38,24
113320,7 parks,Autobuss,76070,Abrenes iela - Pļavnieku kapi,A 52,Back,23.11.2018 11:57:26,24
113321,7 parks,Autobuss,76789,Abrenes iela - Ulbroka,A 51,Forth,23.11.2018 12:18:55,24
113322,7 parks,Autobuss,78016,Abrenes iela - Ulbroka,A 51,Back,23.11.2018 12:51:10,24
113323,7 parks,Autobuss,78027,Imanta 5 - Jugla 3,A 21,Forth,23.11.2018 14:17:34,24
113324,7 parks,Autobuss,76865,Imanta 5 - Jugla 3,A 21,Back,23.11.2018 14:24:37,24
113325,5 parks,Tramvajs,58066,Ausekļa iela - Mežaparks,Tm 11,Back,23.11.2018 14:56:37,24
113326,7 parks,Autobuss,76505,Abrenes iela - Mangaļsala,A 24,Forth,23.11.2018 15:11:05,24
113327,1 parks,Trolejbuss,16231,Latv. Universitāte - Višķu,Tr 15,Forth,23.11.2018 15:14:00,24
113328,7 parks,Autobuss,72776,Abrenes iela - Dārziņi,A 18,Forth,23.11.2018 15:30:46,24
113329,1 parks,Trolejbuss,16207,Latv. Universitāte - Višķu,Tr 15,Back,23.11.2018 16:09:13,24
113330,3 parks,Tramvajs,35032,Ausekļa iela - 'Dole',Tm 7,Back,23.11.2018 16:29:33,24
113331,5 parks,Tramvajs,57169,Imanta - Jugla,Tm 1,Forth,23.11.2018 17:09:42,24
113332,7 parks,Autobuss,79817,Jugla 3 - Ziepniekkalns,A 40,Back,23.11.2018 18:02:21,24
113333,7 parks,Autobuss,76843,Imanta 5 - Jugla 3,A 21,Forth,23.11.2018 18:20:17,24
202975,7 parks,Autobuss,79501,Imanta 5 - Jugla 3,A 21,Forth,23.11.2018 10:23:08,17
202976,7 parks,Autobuss,79501,Imanta 5 - Jugla 3,A 21,Back,23.11.2018 11:50:34,17
202977,6 parks,Autobuss,65263,Abrenes iela - Zolitūde,A 4z,Forth,23.11.2018 13:42:36,17
202978,7 parks,Autobuss,72689,Daugavgrīva – Ziepniekkalns,A 56,Back,23.11.2018 14:28:31,17
202979,6 parks,Autobuss,63109,Esplanāde - Imanta 5,A 37,Back,23.11.2018 14:58:26,17
202980,6 parks,Autobuss,69101,Ziepnniekkalns - Zolitūde,A 46,Back,23.11.2018 16:29:15,17
202981,2 parks,Trolejbuss,28543,Stacijas laukums - Iļģuciems,Tr 9,Back,23.11.2018 16:56:04,17
202982,2 parks,Trolejbuss,29440,Stacijas laukums - Iļģuciems,Tr 9,Forth,23.11.2018 18:04:03,17
202983,5 parks,Tramvajs,51571,Imanta - Jugla,Tm 1,Forth,23.11.2018 18:31:40,17
202984,5 parks,Tramvajs,51133,Tramvaja Depo - Maršruts,Tm 100,Forth,23.11.2018 18:37:48,17
