stop_id,stop_name,stop_lat,stop_lon
1438,Rostokas iela 16,56.94945,24.00653
1435,Zolitūdes D/P,56.94830,24.02382
1440,Zolitūdes iela,56.94966,23.99980
1426,Rucavas iela,56.93912,24.03131
9106,Rusova iela/Valsts ieņēmumu dienests,56.98903,24.16680
2085,Rušonu iela,56.91527,24.18553
0298,Motormuzejs,56.97034,24.23003
0297,Motormuzejs,56.97025,24.22997
0408,S.Eizenšteina iela,56.96146,24.23215
0439,"Sporta bāze ""Biķernieki""",56.96611,24.23348
0171,Jāņavārti,56.91991,24.18388
0172,Jāņavārti,56.92065,24.18309
0199,Ķengarags,56.92158,24.18173
0412,Salaspils iela,56.93227,24.16893
0432,Slāvu iela,56.92768,24.17401
0431,Slāvu iela,56.92757,24.17437
1254,Lucavsala,56.92935,24.11422
1333,Lucavsala,56.92919,24.11457
5348,Salu tilts,56.92677,24.11105
1253,Zaķusala,56.93257,24.11941
1334,Zaķusala,56.93258,24.12003
0077,Centrālā stacija,56.94812,24.12153
0074,Elizabetes iela,56.94812,24.12347
0146,Ģertrūdes iela,56.94703,24.13994
2105,Graudu iela,56.91123,24.10405
2103,Kartupeļu iela,56.91384,24.09958
2111,Kartupeļu iela,56.91436,24.09879
2102,Saulkalnes iela,56.91491,24.09780
2110,Saulkalnes iela,56.91207,24.10290
1383,Brūkleņu iela,56.91347,24.05057
1384,Kurmenes iela,56.91315,24.05482
1386,Kursīšu iela,56.91266,24.05894
9102,Miera iela,56.97037,24.13917
9103,Miera iela,56.97024,24.13915
5457,93.vidusskola,56.94589,24.19071
1502,Gaismas iela,56.94553,24.18196
1500,Skaņu iela,56.94486,24.17612
1501,Skaņu iela,56.94496,24.17634
1601,Malēju iela,56.90736,24.22091
1706,Sila iela,56.90659,24.21545
0061,Brīvības gatve,56.98856,24.23747
0424,Silciema iela,56.98832,24.23743
0505,Slēpotāju iela,56.98553,24.23903
0506,Slēpotāju iela,56.98469,24.23924
1184,Platā iela,57.02853,24.04446
1185,Platā iela,57.02848,24.04471
1187,Silikātu iela,57.02790,24.03422
1186,Silikātu iela,57.02809,24.03392
1037,Arēna Rīga,56.96948,24.11946
1038,Arēna Rīga,56.96947,24.11887
0438,Šoseja,56.98595,24.32132
0437,Šoseja,56.98588,24.32147
5368,Silkalēji,56.92017,23.94418
5369,Silkalēji,56.92031,23.94257
5000,Skulte,56.91937,23.95258
8078,Skulte,56.91932,23.95358
1703,Skultes stadions,56.91982,23.94780
1704,Skultes stadions,56.91993,23.94754
1105,A.Grīna bulvāris,56.94209,24.08187
1109,A.Grīna bulvāris,56.94199,24.08190
1041,Baldones iela,56.95076,24.06607
1091,Baldones iela,56.95066,24.06581
1093,Kalnciema iela,56.94601,24.07392
1107,Kalnciema iela,56.94525,24.07477
1040,Mārtiņa iela,56.94816,24.07258
1092,Mārtiņa iela,56.94848,24.07212
1106,Nometņu iela,56.94301,24.07816
1108,Nometņu iela,56.94353,24.07679
0618,Observatorijas iela,56.96187,24.03932
0634,Observatorijas iela,56.96177,24.03934
0617,Saulgožu iela,56.96132,24.04769
0635,Saulgožu iela,56.96121,24.04849
1110,Uzvaras bulvāris,56.93987,24.09070
1219,Skodas iela,56.97104,24.04999
1210,Skodas iela,56.97117,24.05056
1218,Spilves iela 16,56.97192,24.05216
1211,Spilves iela 16,56.97202,24.05267
1492,A.Čaka iela,56.95458,24.13199
0037,Avotu iela,56.95193,24.13739
0440,Stabu iela,56.95213,24.13720
1491,Stabu iela,56.95774,24.12539
0324,Paegles,57.06144,24.08000
0323,Paegles,57.06159,24.07997
7993,Stāvvadu iela,57.07016,24.08866
7994,Stāvvadu iela,57.07026,24.08886
5076,Čiekuri,56.89163,23.98682
5075,Čiekuri,56.89221,23.98654
4996,Milži,56.90446,23.99476
8064,Milži,56.90478,23.99534
5236,Noras,56.91015,24.00243
5235,Noras,56.91101,24.00379
5389,Stīpnieki,56.91495,24.00910
5390,Stīpnieki,56.91641,24.01158
5447,Zirnīši,56.89784,23.98560
5448,Zirnīši,56.89824,23.98634
2058,64.vidusskola,56.95901,24.18499
2065,64.vidusskola,56.96023,24.18720
2057,Ainavas iela,56.96184,24.19071
2066,Ainavas iela,56.96240,24.19213
2080,Ieriķu iela,56.96507,24.19535
2125,Ieriķu iela,56.96463,24.19485
1152,Bolderājas tirgus,57.03285,24.04821
1425,Rucavas iela,56.93929,24.03054
0062,Brīvības gatve,56.98450,24.20930
0434,"Slimnīca ""Šmerlis""",56.98044,24.21246
0433,"Slimnīca ""Šmerlis""",56.98094,24.21201
1336,Bērzupes iela,56.91611,24.09186
1337,Bērzupes iela,56.91594,24.09293
0503,Ābeļu iela,56.86769,24.27077
0507,Ābeļu iela,56.86769,24.27092
0095,Jāņogu iela,56.86281,24.26882
0530,Sakņu iela,56.86496,24.26972
0531,Sakņu iela,56.86480,24.26949
2096,Bajāru iela,56.97276,24.17987
2097,Biķernieku iela,56.97102,24.17901
2095,Tālivalža iela,56.97514,24.18247
2098,Zalkšu iela,56.97324,24.18052
2028,A.Čaka iela,56.95928,24.14342
2041,A.Čaka iela,56.95885,24.14399
0065,Brīvības iela,56.96360,24.13618
2030,Brīvības iela,56.96260,24.13789
2026,J.Asara iela,56.95445,24.15138
2043,J.Asara iela,56.95562,24.15011
2029,K.Barona iela,56.96060,24.14112
2040,K.Barona iela,56.96118,24.14002
2042,Krāsotāju iela,56.95713,24.14728
2031,Miera iela,56.96523,24.13381
2027,Vārnu iela,56.95787,24.14608
2001,Blaumaņa iela,56.95428,24.12250
2012,Brīvības bulvāris,56.95263,24.11596
2011,Lāčplēša iela,56.95480,24.12338
2000,Tērbatas iela,56.95257,24.11619
5023,Ārlavas iela,56.92304,24.07912
5024,Ārlavas iela,56.92335,24.07935
5060,Bramberģes iela,56.91489,24.06995
5061,Bramberģes iela,56.91409,24.06847
5134,Ģimnastikas iela,56.91939,24.07553
1401,Ģimnastikas iela,56.91873,24.07475
5359,Sējas iela,56.91238,24.06609
5360,Sējas iela,56.91205,24.06540
1399,Vecmoku iela,56.91706,24.07314
1400,Vecmoku iela,56.91709,24.07340
0415,Sarkandaugava,56.99419,24.12494
0416,Sarkandaugava,56.99487,24.12679
7975,Sarkandaugava,56.99569,24.12903
0016,Aizvēja,57.05356,24.06251
0017,Aizvēja,57.05276,24.06310
0263,Mangaļsala,57.06101,24.05520
0311,Osta,57.05577,24.06070
0312,Osta,57.05548,24.06069
2074,Dzirnavu iela,56.94578,24.12507
2073,Turgeņeva iela,56.94577,24.12497
0024,Aptiekas iela,56.99841,24.11713
0023,Aptiekas iela,56.99943,24.11796
0266,MAN - TESS,57.00581,24.12004
0384,Psihiatrijas un narkoloģijas centrs,56.99401,24.12076
0383,Psihiatrijas un narkoloģijas centrs,56.99378,24.12071
0278,Tvaika iela 4,56.99613,24.11825
0277,Tvaika iela 4,56.99640,24.11780
9092,Latvenergo,56.95318,24.22166
9093,Latvenergo,56.95313,24.22138
0413,Salnas iela,56.94431,24.21736
0414,Salnas iela,56.94324,24.21675
0488,Ulbrokas iela,56.93893,24.21521
0487,Ulbrokas iela,56.93867,24.21490
0353,Madaru iela,56.98750,24.30409
0354,Madaru iela,56.98735,24.30429
