stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
0111,,"Dzērbenes iela",,56.98078,24.19117,https://saraksti.rigassatiksme.lv/index.html#stop/0111,,
0419,,"Gustava Zemgala gatve",,56.97371,24.16807,https://saraksti.rigassatiksme.lv/index.html#stop/0419,,
0418,,"Gustava Zemgala gatve",,56.97382,24.16873,https://saraksti.rigassatiksme.lv/index.html#stop/0418,,
0180,,"Juglas iela",,56.98901,24.23837,https://saraksti.rigassatiksme.lv/index.html#stop/0180,,
0181,,"Juglas iela",,56.98996,24.24245,https://saraksti.rigassatiksme.lv/index.html#stop/0181,,
0222,,"Krustabaznīcas iela",,56.98231,24.19657,https://saraksti.rigassatiksme.lv/index.html#stop/0222,,
0221,,"Krustabaznīcas iela",,56.98191,24.19489,https://saraksti.rigassatiksme.lv/index.html#stop/0221,,
0301,,"Mārkalnes iela",,56.98809,24.23085,https://saraksti.rigassatiksme.lv/index.html#stop/0301,,
2024,,"Palmu iela",,56.97790,24.18204,https://saraksti.rigassatiksme.lv/index.html#stop/2024,,
0455,,"Struktoru iela",,56.97524,24.17341,https://saraksti.rigassatiksme.lv/index.html#stop/0455,,
2018,,"Šmerlis",,56.98484,24.20858,https://saraksti.rigassatiksme.lv/index.html#stop/2018,,
0436,,"Šmerļa iela",,56.98551,24.20957,https://saraksti.rigassatiksme.lv/index.html#stop/0436,,
2018a,,"Šmerļa iela",,56.98510,24.20876,https://saraksti.rigassatiksme.lv/index.html#stop/2018a,,
0045,,"Tirzas iela",,56.98718,24.22308,https://saraksti.rigassatiksme.lv/index.html#stop/0045,,
0399,,"VEF",,56.97107,24.15931,https://saraksti.rigassatiksme.lv/index.html#stop/0399,,
0400,,"VEF",,56.97188,24.16271,https://saraksti.rigassatiksme.lv/index.html#stop/0400,,
0208,,"Zemitāna laukums",,56.97921,24.18637,https://saraksti.rigassatiksme.lv/index.html#stop/0208,,
0207,,"Zemitāna laukums",,56.97918,24.18598,https://saraksti.rigassatiksme.lv/index.html#stop/0207,,
0081,,"Cēsu iela",,56.96554,24.14331,https://saraksti.rigassatiksme.lv/index.html#stop/0081,,
0080,,"Cēsu iela",,56.96584,24.14369,https://saraksti.rigassatiksme.lv/index.html#stop/0080,,
0145,,"Ģertrūdes iela",,56.95676,24.12194,https://saraksti.rigassatiksme.lv/index.html#stop/0145,,
7987,,"Ģertrūdes iela",,56.95663,24.12204,https://saraksti.rigassatiksme.lv/index.html#stop/7987,,
0219,,"K.Barona iela",,56.96786,24.14997,https://saraksti.rigassatiksme.lv/index.html#stop/0219,,
0220,,"K.Barona iela",,56.96789,24.14961,https://saraksti.rigassatiksme.lv/index.html#stop/0220,,
2023,,"K.Barona iela",,56.96797,24.15031,https://saraksti.rigassatiksme.lv/index.html#stop/2023,,
0269,,"Matīsa iela",,56.96029,24.13050,https://saraksti.rigassatiksme.lv/index.html#stop/0269,,
0268,,"Matīsa iela",,56.96027,24.13084,https://saraksti.rigassatiksme.lv/index.html#stop/0268,,
2020,,"Matīsa iela",,56.95996,24.12951,https://saraksti.rigassatiksme.lv/index.html#stop/2020,,
2021,,"Matīsa iela",,56.96000,24.13012,https://saraksti.rigassatiksme.lv/index.html#stop/2021,,
0466,,"Tallinas iela",,56.96246,24.13588,https://saraksti.rigassatiksme.lv/index.html#stop/0466,,
0468,,"Tallinas iela",,56.96329,24.13755,https://saraksti.rigassatiksme.lv/index.html#stop/0468,,
2022,,"Tallinas iela",,56.96272,24.13653,https://saraksti.rigassatiksme.lv/index.html#stop/2022,,
1494,,"A.Čaka iela",,56.95447,24.13523,https://saraksti.rigassatiksme.lv/index.html#stop/1494,,
1496,,"Brīvības iela",,56.95861,24.12714,https://saraksti.rigassatiksme.lv/index.html#stop/1496,,
5463,,"Rīgas 1.slimnīca",,56.96013,24.12469,https://saraksti.rigassatiksme.lv/index.html#stop/5463,,
1495,,"Tērbatas iela",,56.95702,24.13023,https://saraksti.rigassatiksme.lv/index.html#stop/1495,,
1171,,"Vakarbuļļi",,57.00100,23.94337,https://saraksti.rigassatiksme.lv/index.html#stop/1171,,
0637,,"Buļļu iela",,56.96477,24.05906,https://saraksti.rigassatiksme.lv/index.html#stop/0637,,
1220,,"Buļļu iela",,56.96648,24.05547,https://saraksti.rigassatiksme.lv/index.html#stop/1220,,
0615,,"Dzirciema iela",,56.96475,24.05937,https://saraksti.rigassatiksme.lv/index.html#stop/0615,,
1221,,"Dzirciema iela",,56.96598,24.05635,https://saraksti.rigassatiksme.lv/index.html#stop/1221,,
1208,,"Garā iela",,56.96898,24.05030,https://saraksti.rigassatiksme.lv/index.html#stop/1208,,
1209,,"Garā iela",,56.96860,24.05110,https://saraksti.rigassatiksme.lv/index.html#stop/1209,,
1051,,"Kleistu iela",,56.97595,24.03262,https://saraksti.rigassatiksme.lv/index.html#stop/1051,,
1053,,"Kleistu iela",,56.97577,24.03330,https://saraksti.rigassatiksme.lv/index.html#stop/1053,,
1052,,"Lāčupes kapi",,56.97733,24.02668,https://saraksti.rigassatiksme.lv/index.html#stop/1052,,
1202,,"Lāčupīte",,56.97504,24.03644,https://saraksti.rigassatiksme.lv/index.html#stop/1202,,
1203,,"Lāčupīte",,56.97517,24.03637,https://saraksti.rigassatiksme.lv/index.html#stop/1203,,
0614,,"Saldus iela",,56.96213,24.06358,https://saraksti.rigassatiksme.lv/index.html#stop/0614,,
0638,,"Saldus iela",,56.96168,24.06491,https://saraksti.rigassatiksme.lv/index.html#stop/0638,,
1206,,"Saulgožu iela",,56.96970,24.04722,https://saraksti.rigassatiksme.lv/index.html#stop/1206,,
1207,,"Spilves iela",,56.96963,24.04860,https://saraksti.rigassatiksme.lv/index.html#stop/1207,,
1204,,"Virbu iela",,56.97233,24.04089,https://saraksti.rigassatiksme.lv/index.html#stop/1204,,
1205,,"Virbu iela",,56.97152,24.04234,https://saraksti.rigassatiksme.lv/index.html#stop/1205,,
2055,,"Jelgavas iela",,56.93174,24.09953,https://saraksti.rigassatiksme.lv/index.html#stop/2055,,
1520,,"Mucenieki",,56.96005,24.37555,https://saraksti.rigassatiksme.lv/index.html#stop/1520,,
8019,,"Pagrieziens uz Muceniekiem",,56.95996,24.37566,https://saraksti.rigassatiksme.lv/index.html#stop/8019,,
1300,,"Ādiņas",,56.87965,24.17274,https://saraksti.rigassatiksme.lv/index.html#stop/1300,,
1301,,"Ādiņas",,56.87988,24.17376,https://saraksti.rigassatiksme.lv/index.html#stop/1301,,
1303,,"Dzelzskalni",,56.88334,24.18310,https://saraksti.rigassatiksme.lv/index.html#stop/1303,,
1306,,"Dzelzskalni",,56.88339,24.18291,https://saraksti.rigassatiksme.lv/index.html#stop/1306,,
1304,,"Kalnavoti",,56.88319,24.18970,https://saraksti.rigassatiksme.lv/index.html#stop/1304,,
8056,,"Kalnavoti",,56.88314,24.18970,https://saraksti.rigassatiksme.lv/index.html#stop/8056,,
1305,,"Katlakalns",,56.88444,24.19306,https://saraksti.rigassatiksme.lv/index.html#stop/1305,,
1298,,"Vidēji",,56.87967,24.16756,https://saraksti.rigassatiksme.lv/index.html#stop/1298,,
1299,,"Vidēji",,56.87971,24.16778,https://saraksti.rigassatiksme.lv/index.html#stop/1299,,
8067,,"Mucenieki",,56.95887,24.37973,https://saraksti.rigassatiksme.lv/index.html#stop/8067,,
2112,,"Brīvības iela",,56.96305,24.13597,https://saraksti.rigassatiksme.lv/index.html#stop/2112,,
0467,,"Tallinas iela",,56.96273,24.13567,https://saraksti.rigassatiksme.lv/index.html#stop/0467,,
0033,,"Augstrozes iela",,56.98333,24.16018,https://saraksti.rigassatiksme.lv/index.html#stop/0033,,
0315,,"Čiekurkalna 2.šķērslīnija",,56.98264,24.16653,https://saraksti.rigassatiksme.lv/index.html#stop/0315,,
0350,,"Čiekurkalna 5.šķērslīnija",,56.98296,24.17354,https://saraksti.rigassatiksme.lv/index.html#stop/0350,,
0028,,"Čiekurkalna 8. šķērslīnija",,56.98322,24.18106,https://saraksti.rigassatiksme.lv/index.html#stop/0028,,
0316,,"Čiekurkalna 2.šķērslīnija",,56.98552,24.16613,https://saraksti.rigassatiksme.lv/index.html#stop/0316,,
0082,,"Čiekurkalna 4.šķērslīnija",,56.98577,24.17099,https://saraksti.rigassatiksme.lv/index.html#stop/0082,,
0423,,"Čiekurkalna 6.šķērslīnija",,56.98607,24.17726,https://saraksti.rigassatiksme.lv/index.html#stop/0423,,
0104,,"Čiekurkalna 9.šķērslīnija",,56.98635,24.18285,https://saraksti.rigassatiksme.lv/index.html#stop/0104,,
1380,,"Dauguļu iela",,56.92144,24.04650,https://saraksti.rigassatiksme.lv/index.html#stop/1380,,
1381,,"Dauguļu iela",,56.92144,24.04537,https://saraksti.rigassatiksme.lv/index.html#stop/1381,,
0139,,"Ganību dambis",,56.98841,24.12306,https://saraksti.rigassatiksme.lv/index.html#stop/0139,,
0140,,"Ganību dambis",,56.98851,24.12278,https://saraksti.rigassatiksme.lv/index.html#stop/0140,,
0091,,"Dārzciema iela",,56.93270,24.18190,https://saraksti.rigassatiksme.lv/index.html#stop/0091,,
1503,,"Dārzciema iela",,56.94488,24.18275,https://saraksti.rigassatiksme.lv/index.html#stop/1503,,
0352,,"Pildas iela",,56.94136,24.18163,https://saraksti.rigassatiksme.lv/index.html#stop/0352,,
1508,,"Pildas iela",,56.94216,24.18216,https://saraksti.rigassatiksme.lv/index.html#stop/1508,,
5469,,"Sesku iela",,56.94533,24.18328,https://saraksti.rigassatiksme.lv/index.html#stop/5469,,
0454,,"Strautu iela",,56.93734,24.18209,https://saraksti.rigassatiksme.lv/index.html#stop/0454,,
0453,,"Strautu iela",,56.93850,24.18237,https://saraksti.rigassatiksme.lv/index.html#stop/0453,,
0094,,"Dārziņi",,56.85944,24.29716,https://saraksti.rigassatiksme.lv/index.html#stop/0094,,
0533,,"Dārziņu 27.līnija",,56.86790,24.27810,https://saraksti.rigassatiksme.lv/index.html#stop/0533,,
0534,,"Dārziņu 27.līnija",,56.86822,24.27793,https://saraksti.rigassatiksme.lv/index.html#stop/0534,,
0538,,"Dārziņu 38.līnija",,56.86107,24.28593,https://saraksti.rigassatiksme.lv/index.html#stop/0538,,
0537,,"Dārziņu 38.līnija",,56.86186,24.28457,https://saraksti.rigassatiksme.lv/index.html#stop/0537,,
0540,,"Dārziņu 46.līnija",,56.85989,24.29089,https://saraksti.rigassatiksme.lv/index.html#stop/0540,,
0541,,"Dārziņu 46.līnija",,56.85995,24.29125,https://saraksti.rigassatiksme.lv/index.html#stop/0541,,
