route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
riga_bus_5T,"5T","Iļģuciems - Stacijas laukums",,3,https://saraksti.rigassatiksme.lv/index.html#riga/bus/5T,F4B427,FFFFFF
riga_bus_1,"1","Abrenes iela - Berģuciems",,3,https://saraksti.rigassatiksme.lv/index.html#riga/bus/1,F4B427,FFFFFF
riga_bus_2,"2","Abrenes iela - Vecmīlgrāvis",,3,https://saraksti.rigassatiksme.lv/index.html#riga/bus/2,F4B427,FFFFFF
riga_bus_3,"3","Daugavgrīva - Pļavnieki",,3,https://saraksti.rigassatiksme.lv/index.html#riga/bus/3,F4B427,FFFFFF
riga_bus_4,"4","Abrenes iela - Piņķi",,3,https://saraksti.rigassatiksme.lv/index.html#riga/bus/4,F4B427,FFFFFF
riga_bus_4z,"4z","Abrenes iela - Zolitūde",,3,https://saraksti.rigassatiksme.lv/index.html#riga/bus/4z,F4B427,FFFFFF
riga_bus_5,"5","Abrenes iela - Mežciems",,3,https://saraksti.rigassatiksme.lv/index.html#riga/bus/5,F4B427,FFFFFF
riga_bus_6,"6","Abrenes iela  - Dreiliņi",,3,https://saraksti.rigassatiksme.lv/index.html#riga/bus/6,F4B427,FFFFFF
riga_bus_7,"7","Abrenes iela - Stīpnieki",,3,https://saraksti.rigassatiksme.lv/index.html#riga/bus/7,F4B427,FFFFFF
riga_bus_8,"8","Stacijas laukums - Zolitūde",,3,https://saraksti.rigassatiksme.lv/index.html#riga/bus/8,F4B427,FFFFFF
riga_bus_9,"9","Abrenes iela - Mežaparks",,3,https://saraksti.rigassatiksme.lv/index.html#riga/bus/9,F4B427,FFFFFF
riga_bus_10,"10","Abrenes iela - Brūkleņu iela - Jaunmārupe",,3,https://saraksti.rigassatiksme.lv/index.html#riga/bus/10,F4B427,FFFFFF
riga_bus_11,"11","Abrenes iela - Jaunciems - Suži",,3,https://saraksti.rigassatiksme.lv/index.html#riga/bus/11,F4B427,FFFFFF
riga_bus_12,"12","Abrenes iela - Kooperatīvs ""Ziedonis""",,3,https://saraksti.rigassatiksme.lv/index.html#riga/bus/12,F4B427,FFFFFF
