VehicleMessageID,SentDate,VehicleID,SendingReason,Odometer,WGS84Fi,WGS84La,Delay,Gyro,Speed,ShiftID,TripID
868736810,2018-11-23 05:32:16.000,63,1,7,"56,98695","24,12685",0,348,0,NULL,NULL
868737245,2018-11-23 05:32:48.000,63,1,7,"56,98695","24,12685",0,348,0,NULL,NULL
868737848,2018-11-23 05:33:19.000,63,1,7,"56,98695","24,12685",0,348,0,NULL,NULL
868738340,2018-11-23 05:33:49.000,63,1,7,"56,98695","24,12685",0,348,0,466,NULL
868738766,2018-11-23 05:34:19.000,63,1,7,"56,98695","24,12685",0,348,0,466,NULL
868739134,2018-11-23 05:34:50.000,63,1,8,"56,98695","24,12684",0,348,0,466,NULL
868739492,2018-11-23 05:35:20.000,63,1,11,"56,98695","24,12683",0,348,0,466,NULL
868739855,2018-11-23 05:35:51.000,63,1,12,"56,98695","24,12683",0,348,0,466,NULL
868740208,2018-11-23 05:36:22.000,63,1,12,"56,98695","24,12683",0,348,0,466,NULL
868740577,2018-11-23 05:36:53.000,63,1,12,"56,98695","24,12683",0,348,0,466,NULL
868740969,2018-11-23 05:37:23.000,63,1,12,"56,98695","24,12683",0,348,0,466,NULL
868741360,2018-11-23 05:37:54.000,63,1,12,"56,98695","24,12683",0,348,0,466,NULL
868741701,2018-11-23 05:38:25.000,63,1,12,"56,98695","24,12683",0,348,0,466,NULL
868742063,2018-11-23 05:38:56.000,63,1,12,"56,98695","24,12683",0,348,0,466,NULL
868742455,2018-11-23 05:39:26.000,63,1,12,"56,98695","24,12683",0,348,0,466,NULL
868742478,2018-11-23 05:40:28.000,63,1,12,"56,98695","24,12683",0,348,0,466,NULL
868742865,2018-11-23 05:39:57.000,63,1,12,"56,98695","24,12683",0,348,0,466,NULL
868742883,2018-11-23 05:40:59.000,63,1,13,"56,98695","24,12683",0,348,0,466,NULL
868743275,2018-11-23 05:41:29.000,63,1,14,"56,98696","24,12683",0,348,0,466,NULL
868743674,2018-11-23 05:42:00.000,63,1,14,"56,98697","24,12683",0,348,0,466,NULL
